기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2020.3/4	합계	4,405,833	9,953,009	4,840,912	5,112,097	9,699,232	4,719,170	4,980,062	253,777	121,742	132,035	2.2	1,552,356
2020.3/4	종로구	74,861	159,842	77,391	82,451	149,952	73,024	76,928	9,890	4,367	5,523	2	28,396
2020.3/4	중구	63,594	135,321	66,193	69,128	125,800	61,526	64,274	9,521	4,667	4,854	1.98	24,265
2020.3/4	용산구	112,451	244,953	119,074	125,879	229,786	110,604	119,182	15,167	8,470	6,697	2.04	39,995
2020.3/4	성동구	136,096	302,695	147,582	155,113	295,591	144,444	151,147	7,104	3,138	3,966	2.17	45,372
2020.3/4	광진구	166,857	361,923	174,077	187,846	348,064	168,095	179,969	13,859	5,982	7,877	2.09	50,047
2020.3/4	동대문구	167,232	358,679	176,433	182,246	344,416	170,748	173,668	14,263	5,685	8,578	2.06	61,408
2020.3/4	중랑구	185,109	400,989	198,012	202,977	395,997	195,981	200,016	4,992	2,031	2,961	2.14	68,658
2020.3/4	성북구	195,379	449,871	216,155	233,716	439,719	212,151	227,568	10,152	4,004	6,148	2.25	73,370
2020.3/4	강북구	145,790	313,550	152,458	161,092	309,996	151,117	158,879	3,554	1,341	2,213	2.13	62,951
2020.3/4	도봉구	139,029	329,300	160,526	168,774	327,248	159,723	167,525	2,052	803	1,249	2.35	61,388
2020.3/4	노원구	218,002	529,532	255,618	273,914	525,486	253,797	271,689	4,046	1,821	2,225	2.41	84,612
2020.3/4	은평구	213,039	485,842	233,104	252,738	481,546	231,364	250,182	4,296	1,740	2,556	2.26	84,353
2020.3/4	서대문구	144,494	323,860	153,763	170,097	313,212	149,993	163,219	10,648	3,770	6,878	2.17	53,869
2020.3/4	마포구	178,495	383,494	179,899	203,595	373,508	176,011	197,497	9,986	3,888	6,098	2.09	54,053
2020.3/4	양천구	180,309	460,048	225,596	234,452	456,240	223,889	232,351	3,808	1,707	2,101	2.53	64,804
2020.3/4	강서구	266,366	589,536	284,747	304,789	583,544	281,951	301,593	5,992	2,796	3,196	2.19	88,052
2020.3/4	구로구	179,792	435,751	217,380	218,371	405,579	200,268	205,311	30,172	17,112	13,060	2.26	69,312
2020.3/4	금천구	113,887	249,641	127,292	122,349	232,157	117,489	114,668	17,484	9,803	7,681	2.04	39,361
2020.3/4	영등포구	182,087	405,982	202,624	203,358	375,630	185,800	189,830	30,352	16,824	13,528	2.06	60,826
2020.3/4	동작구	184,193	404,617	195,373	209,244	393,554	190,422	203,132	11,063	4,951	6,112	2.14	64,674
2020.3/4	관악구	275,248	514,555	257,638	256,917	498,574	250,084	248,490	15,981	7,554	8,427	1.81	78,206
2020.3/4	서초구	173,483	429,995	205,671	224,324	426,009	203,686	222,323	3,986	1,985	2,001	2.46	59,495
2020.3/4	강남구	234,021	544,085	260,358	283,727	539,235	257,961	281,274	4,850	2,397	2,453	2.3	73,942
2020.3/4	송파구	281,417	676,673	326,602	350,071	670,331	323,646	346,685	6,342	2,956	3,386	2.38	92,149
2020.3/4	강동구	194,602	462,275	227,346	234,929	458,058	225,396	232,662	4,217	1,950	2,267	2.35	68,798
